Date,Open,High,Low,Close,Adj Close,Volume
2013-02-13,53.169445,53.371380,52.721687,53.072872,47.100063,2057100
2013-02-14,52.897278,53.362598,52.704128,53.327480,47.326012,1941800
2013-02-15,53.784019,53.784019,53.336262,53.748901,47.699997,2497500
2013-02-19,53.748901,53.985954,53.634766,53.959614,47.887005,1892900
2013-02-20,53.933273,54.223003,53.669888,53.740124,47.692215,2278900
2013-02-21,53.696224,53.696224,52.739246,52.914837,46.959801,2625600
2013-02-22,53.301140,53.573311,52.976295,53.564529,47.536388,1788300
2013-02-25,53.977173,54.205444,53.345039,53.353821,47.349388,2936500
2013-02-26,53.661106,53.880596,53.309921,53.625988,47.590927,2226500
2013-02-27,53.432835,54.284458,53.257244,54.073750,47.988300,1890500
2013-02-28,54.170326,54.187885,53.871819,53.871819,47.809090,2211900
2013-03-01,53.810360,54.214222,53.283581,54.126427,48.035049,1940100
2013-03-04,53.836700,54.337139,53.643547,54.293240,48.183090,2008900
2013-03-05,54.433712,55.048286,54.363476,55.013168,48.821991,2061500
2013-03-06,54.907814,54.925373,54.460052,54.697102,48.880833,1768000
2013-03-07,54.855137,55.812115,54.697102,55.610184,49.696812,4031400
2013-03-08,55.539948,55.935032,55.452152,55.618965,49.704678,2384800
2013-03-11,55.645302,56.093063,55.610184,56.075504,50.112652,2049000
2013-03-12,56.101845,56.172081,55.970150,56.163300,50.191116,2228400
2013-03-13,56.189640,56.374012,56.057945,56.347672,50.355888,1623500
2013-03-14,56.365234,57.093941,56.365234,57.085163,51.014965,2849500
2013-03-15,56.777874,57.111500,56.514488,56.611061,50.591274,4055800
2013-03-18,56.075504,56.602283,56.014046,56.382793,50.387280,1867700
2013-03-19,56.461807,56.593502,55.891132,56.461807,50.457897,1792300
2013-03-20,56.760315,56.909569,56.330112,56.567165,50.552044,1871400
2013-03-21,56.172081,56.532047,55.689201,55.952591,50.002819,2528500
2013-03-22,56.189640,56.382793,55.882355,56.259876,50.277428,1819700
2013-03-25,56.584724,56.672520,55.803337,56.128181,50.159737,1950000
2013-03-26,56.224758,56.892010,56.224758,56.883232,50.834499,2185900
2013-03-27,56.540825,56.830555,56.277435,56.769096,50.732502,1721400
2013-03-28,56.628620,57.172958,56.479366,57.093941,51.022800,2521200
2013-04-01,56.769096,57.225636,56.628620,56.786655,50.748192,1707200
2013-04-02,57.199299,57.664619,56.935909,57.313435,51.218960,2197300
2013-04-03,57.295872,57.497807,56.681301,56.848114,50.803116,1822500
2013-04-04,56.935909,57.120281,56.470589,56.821774,50.779572,1374600
2013-04-05,56.277435,56.286217,55.575066,55.987709,50.034195,1924500
2013-04-08,55.917473,56.417912,55.785778,56.417912,50.418655,1238200
2013-04-09,56.496925,56.821774,56.049168,56.593502,50.575573,1714100
2013-04-10,56.575943,57.682178,56.444248,57.647060,51.517101,1586300
2013-04-11,57.629501,58.129940,57.480247,58.042141,51.870174,1362800
2013-04-12,58.059700,58.059700,57.515366,57.866550,51.713257,1722000
2013-04-15,57.769974,57.857769,56.575943,56.593502,50.575573,2075200
2013-04-16,56.812992,57.480247,56.646179,57.427567,51.320953,1753300
2013-04-17,56.909569,57.436348,56.172081,57.374889,51.273876,3394500
2013-04-18,57.796314,57.831432,56.523266,56.742756,50.708961,1656700
2013-04-19,56.514488,57.445126,56.514488,57.269535,51.179733,2442900
2013-04-22,57.251976,57.664619,56.812992,57.506584,51.391567,1575100
2013-04-23,57.892887,58.287971,57.427567,58.261635,52.066341,1444800
2013-04-24,58.560139,58.779633,58.340649,58.533802,52.309555,1460300
2013-04-25,58.762074,58.805969,58.375767,58.621597,52.388012,1738400
2013-04-26,58.612820,58.621597,58.121159,58.463566,52.246780,982000
2013-04-29,58.428448,59.043018,58.296753,58.946445,52.678318,1081400
